,date,AutoiTransformer,AutoAutoformer,AutoPatchTST,AutoLSTM,AutoInformer
56,2024-03-28,15248.883057850879,8477.134765625,7624.4404296875,20330.375,11192.267349016241
57,2024-03-29,14170.800406230846,8869.6240234375,7085.39892578125,20395.30078125,11554.333963138357
58,2024-03-30,13462.948510841,9785.9853515625,6731.47216796875,19865.826171875,11988.632792645047
59,2024-03-31,14699.468477722723,9874.056640625,7349.73193359375,18589.701171875,11526.754964382068
60,2024-02-01,1947.4031880765688,1542.0179443359375,973.7019653320312,1262.833251953125,5560.690153120653
61,2024-02-02,2445.135786285129,1675.2640380859375,1222.568115234375,1509.2447509765625,5607.845916109136
62,2024-02-03,2274.9595895253296,1555.451416015625,1137.47998046875,1676.4781494140625,5615.943390867809
63,2024-02-04,2170.5462452652864,1429.0328369140625,1085.2734375,1964.1497802734375,5640.532199679263
64,2024-02-05,2056.5532106483006,1422.2568359375,1028.2769775390625,1881.9482421875,5639.119348870143
65,2024-02-06,1853.8791838162579,1614.3980712890625,926.9404907226562,1740.482421875,5732.4790930063755
