日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2019-09-15,罗湖,入境,141696,19402,1009,162107
2019-09-15,罗湖,出境,60168,21137,1301,82606
2019-09-15,落马洲支线,入境,62368,18438,383,81189
2019-09-15,落马洲支线,出境,31919,18652,637,51208
2019-09-15,港珠澳大桥,入境,33713,2627,2912,39252
2019-09-15,港珠澳大桥,出境,12222,3403,3691,19316
2019-09-15,落马洲,入境,33071,4883,454,38408
2019-09-15,落马洲,出境,15026,5068,1237,21331
2019-09-15,文锦渡,入境,2414,1389,25,3828
2019-09-15,文锦渡,出境,1135,1043,19,2197
2019-09-15,沙头角,入境,4442,687,43,5172
2019-09-15,沙头角,出境,1458,631,119,2208
2019-09-15,深圳湾,入境,63214,13675,1144,78033
2019-09-15,深圳湾,出境,19979,15990,1891,37860
2019-09-15,中国客运码头,入境,5548,573,680,6801
2019-09-15,中国客运码头,出境,1504,779,906,3189
2019-09-15,港口管制,入境,0,2,46,48
2019-09-15,港口管制,出境,2,0,1,3
2019-09-15,启德邮轮码头,入境,3406,1268,178,4852
2019-09-15,启德邮轮码头,出境,917,858,351,2126
2019-09-15,港澳客轮码头,入境,13771,535,1639,15945
2019-09-15,港澳客轮码头,出境,6845,435,1973,9253
2019-09-15,屯门客运码头,入境,1306,18,40,1364
2019-09-15,屯门客运码头,出境,523,6,52,581
2019-09-28,机场,入境,30377,8744,10799,49920
2019-09-28,机场,出境,41178,13316,15073,69567
2019-09-28,高铁西九龙,入境,5414,8995,1177,15586
2019-09-28,高铁西九龙,出境,12377,8188,463,21028
2019-09-28,红磡,入境,853,538,222,1613
2019-09-28,红磡,出境,1669,470,82,2221
2019-09-28,罗湖,入境,71895,23988,1350,97233
2019-09-28,罗湖,出境,104733,27358,826,132917
2019-09-28,落马洲支线,入境,39403,28587,676,68666
2019-09-28,落马洲支线,出境,53245,27211,389,80845
2019-09-28,港珠澳大桥,入境,12556,2566,2871,17993
2019-09-28,港珠澳大桥,出境,22230,3724,2559,28513
2019-09-28,落马洲,入境,20611,6296,1430,28337
2019-09-28,落马洲,出境,24997,6002,428,31427
2019-09-28,文锦渡,入境,1656,2343,94,4093
2019-09-28,文锦渡,出境,2321,1613,46,3980
2019-09-28,沙头角,入境,1835,981,203,3019
2019-09-28,沙头角,出境,2773,711,43,3527
2019-09-28,深圳湾,入境,22713,22119,2733,47565
2019-09-28,深圳湾,出境,36725,20244,728,57697
2019-09-28,中国客运码头,入境,1644,693,786,3123
2019-09-28,中国客运码头,出境,3626,748,619,4993
2019-09-28,港口管制,入境,1,0,35,36
